model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
unet++ resnet18 jaccard
fold 1,  0.47809202600701817 ± 0.14103458463905733 , 0.6341012971136578 ± 0.13447464202049614 , 0.7610621774680089 ± 0.05966356962629325 , 0.5615049307526581 ± 0.17698518491299262 , 0.6341012971136578 ± 0.13447464202049617 , 0.017677736 ± 0.012290416 , -9.4 ± 5.571355310873648 , 9.4 ± 5.571355310873648 , -191.0 ± 148.5880210514966 , 191.0 ± 148.5880210514966 , 0.6 ± 2.244994432064365 , 2.2 ± 0.7483314773547882 , -1.4 ± 1.4966629547095764 , 1.4 ± 1.4966629547095764
fold 2,  0.4994155316704786 ± 0.06440073242492012 , 0.6637803578210926 ± 0.05512756349237444 , 0.7351131694739499 ± 0.045682546004321194 , 0.6065080040532163 ± 0.06572987798358242 , 0.6637803578210926 ± 0.0551275634923744 , 0.016917968 ± 0.007047912 , -8.4 ± 8.42852300228219 , 10.8 ± 4.995998398718719 , -142.2 ± 69.06055313997999 , 142.2 ± 69.06055313997999 , 0.6 ± 5.161395160225576 , 4.2 ± 3.0594117081556713 , -1.8 ± 1.32664991614216 , 1.8 ± 1.32664991614216
fold 3,  0.5370276572299645 ± 0.117915609414826 , 0.6902241076637446 ± 0.11171910370260946 , 0.7490561131910375 ± 0.07267859029359068 , 0.6520054268571908 ± 0.14476686830287133 , 0.6902241076637446 ± 0.11171910370260944 , 0.024935545 ± 0.019808287 , -22.8 ± 25.30138336138955 , 22.8 ± 25.30138336138955 , -321.4 ± 250.48480991868547 , 321.4 ± 250.48480991868547 , -0.2 ± 5.075431016179809 , 3.8 ± 3.3704599092705436 , -4.2 ± 3.4871191548325386 , 4.2 ± 3.4871191548325386
fold 4,  0.43744010046361703 ± 0.12217651682523036 , 0.5984891034445625 ± 0.11972171258047735 , 0.6583012690992712 ± 0.06808157052177168 , 0.5648815325680498 ± 0.1584799561833647 , 0.5984891034445625 ± 0.11972171258047735 , 0.025951171 ± 0.006503659 , -9.4 ± 10.071742649611338 , 11.4 ± 7.735631842325486 , -218.8 ± 113.59119684200884 , 218.8 ± 113.59119684200884 , -0.2 ± 9.66229786334493 , 7.8 ± 5.706137047074842 , -1.2 ± 0.9797958971132713 , 1.2 ± 0.9797958971132713
fold 5,  0.4667204417004938 ± 0.0776506798031309 , 0.6324651074298293 ± 0.07463466078549125 , 0.7121051457560431 ± 0.04819030305310892 , 0.5804217752186871 ± 0.10713274364082238 , 0.6324651074298293 ± 0.07463466078549125 , 0.021464843 ± 0.009056165 , -9.0 ± 6.985699678629192 , 9.0 ± 6.985699678629192 , -183.4 ± 217.53767489793577 , 183.4 ± 217.53767489793577 , -1.2 ± 2.7129319932501077 , 2.8 ± 0.9797958971132712 , -1.2 ± 0.7483314773547883 , 1.2 ± 0.7483314773547883
fold 6,  0.345785250704511 ± 0.08437077503068612 , 0.5079161728842518 ± 0.09522458571299137 , 0.5526278446406827 ± 0.19105212516907058 , 0.5794402886026855 ± 0.18160393864881377 , 0.5079161728842518 ± 0.09522458571299137 , 0.013019532 ± 0.0071950653 , 3.8 ± 11.01635148313633 , 9.4 ± 6.887670143089026 , 51.8 ± 133.565564424368 , 86.2 ± 114.42272501561916 , 0.8 ± 6.794115100585212 , 6.0 ± 3.286335345030997 , 0.6 ± 1.2 , 0.6 ± 1.2
fold 7,  0.3926138817802745 ± 0.07297418517921572 , 0.5598299942564087 ± 0.07677327426571523 , 0.6651193803998126 ± 0.12053554127590982 , 0.5073107521247027 ± 0.12381308842837682 , 0.5598299942564087 ± 0.07677327426571524 , 0.020390624 ± 0.0144612845 , -14.2 ± 6.997142273814361 , 14.2 ± 6.997142273814361 , -228.0 ± 230.2711445231469 , 228.0 ± 230.2711445231469 , -3.2 ± 10.476640682967036 , 9.2 ± 5.946427498927402 , -0.8 ± 0.7483314773547883 , 0.8 ± 0.7483314773547883
fold 8,  0.4763053108867606 ± 0.09269932670328525 , 0.6400324330980569 ± 0.08342510502125167 , 0.7025892511793465 ± 0.09244657507989824 , 0.5883952477225943 ± 0.07811935934127043 , 0.6400324330980568 ± 0.08342510502125162 , 0.009009765 ± 0.00387403 , -8.0 ± 8.024961059095553 , 10.4 ± 4.498888751680798 , -63.8 ± 60.317161736938516 , 69.0 ± 54.29180416969029 , 0.0 ± 6.723094525588644 , 6.0 ± 3.03315017762062 , -1.6 ± 0.8 , 1.6 ± 0.8
fold 9,  0.4750269896262485 ± 0.03945968575069266 , 0.64313350207213 ± 0.03585457372271948 , 0.6214638168191773 ± 0.03300211054714366 , 0.6670961714246008 ± 0.045654670079201376 , 0.64313350207213 ± 0.03585457372271947 , 0.008236328 ± 0.0032211028 , -8.0 ± 4.147288270665544 , 8.0 ± 4.147288270665544 , -55.4 ± 46.57724766449817 , 55.4 ± 46.57724766449817 , -3.0 ± 5.549774770204643 , 5.8 ± 2.4819347291981715 , -1.0 ± 1.0954451150103321 , 1.0 ± 1.0954451150103321
fold 10,  0.461757138644297 ± 0.06694584752060072 , 0.6289947802768348 ± 0.06093694667413013 , 0.6656977218292026 ± 0.06159377082165618 , 0.6186862706162295 ± 0.13403047217054098 , 0.6289947802768346 ± 0.06093694667413017 , 0.01478711 ± 0.008887581 , -11.2 ± 11.070682002478437 , 13.6 ± 7.939773296511683 , -103.4 ± 103.63705900883139 , 114.6 ± 91.09906695460717 , 4.4 ± 6.1838499334961226 , 6.8 ± 3.3704599092705436 , -2.8 ± 3.4871191548325386 , 3.2 ± 3.124099870362662
unet++ resnet101 jaccard
fold 1,  0.5056688085739988 ± 0.13610475543582837 , 0.6603551133778006 ± 0.1254905488156878 , 0.6883452224894434 ± 0.09990887412939244 , 0.6384287407276488 ± 0.15010604380035736 , 0.6603551133778006 ± 0.12549054881568783 , 0.018652344 ± 0.013528335 , -9.6 ± 7.939773296511683 , 9.6 ± 7.939773296511683 , -120.8 ± 108.87497416762035 , 120.8 ± 108.87497416762035 , 1.0 ± 4.33589667773576 , 3.8 ± 2.3151673805580453 , -1.4 ± 1.2000000000000002 , 1.4 ± 1.2000000000000002
fold 2,  0.4763485556101612 ± 0.03218669052225809 , 0.644669317474946 ± 0.02922628317433931 , 0.7205289718911339 ± 0.051294626996364966 , 0.5839969193652303 ± 0.018026734668866246 , 0.644669317474946 ± 0.02922628317433928 , 0.018064452 ± 0.007456696 , -9.6 ± 7.310266752998826 , 9.6 ± 7.310266752998826 , -161.0 ± 54.88897885732618 , 161.0 ± 54.88897885732618 , 0.0 ± 2.898275349237888 , 2.8 ± 0.7483314773547882 , -2.2 ± 1.16619037896906 , 2.2 ± 1.16619037896906
fold 3,  0.5420145510038391 ± 0.11960416866506937 , 0.6944696071574793 ± 0.11007191451533688 , 0.7203438683763588 ± 0.08675309728513458 , 0.6867836107684515 ± 0.149577068418914 , 0.6944696071574793 ± 0.11007191451533686 , 0.02547266 ± 0.019505769 , -21.2 ± 25.763540129415443 , 22.4 ± 24.727312834192073 , -297.8 ± 260.8795890827798 , 297.8 ± 260.8795890827798 , 0.2 ± 4.749736834815167 , 4.2 ± 2.227105745132009 , -4.4 ± 4.498888751680798 , 4.4 ± 4.498888751680798
fold 4,  0.37156995833416473 ± 0.1595217992559417 , 0.5213993454894716 ± 0.17603380248241682 , 0.6386585236972917 ± 0.0913915799374268 , 0.4627549733499391 ± 0.20603523593035641 , 0.5213993454894716 ± 0.17603380248241682 , 0.027578125 ± 0.0071535055 , -7.2 ± 8.749857141690944 , 10.0 ± 5.329165037789691 , -288.0 ± 63.40031545662845 , 288.0 ± 63.40031545662845 , 2.0 ± 10.0 , 8.0 ± 6.324555320336759 , -2.0 ± 1.4142135623730951 , 2.0 ± 1.4142135623730951
fold 5,  0.473602394565585 ± 0.03847884266762718 , 0.6418349761012576 ± 0.036269336492380275 , 0.7060363411887549 ± 0.06198331936730125 , 0.5978685196609994 ± 0.07012395457853811 , 0.6418349761012576 ± 0.03626933649238027 , 0.02142578 ± 0.008351791 , -7.0 ± 9.654014708917737 , 8.2 ± 8.657944328765346 , -111.8 ± 172.16550177082516 , 135.0 ± 154.64540083688232 , -0.8 ± 6.615134163416491 , 5.6 ± 3.6110940170535573 , -0.8 ± 0.4000000000000001 , 0.8 ± 0.4000000000000001
fold 6,  0.3946301991716435 ± 0.1689121731899393 , 0.5443991996148279 ± 0.17910610520394185 , 0.7052991628845141 ± 0.14024449301949876 , 0.5185545540257472 ± 0.2461824580251953 , 0.5443991996148279 ± 0.17910610520394182 , 0.009271485 ± 0.0049438435 , -4.8 ± 10.628264204469138 , 10.0 ± 6.0 , -45.2 ± 82.44125181000105 , 66.0 ± 66.95968936606562 , -2.4 ± 9.810198774744578 , 8.4 ± 5.607138307550474 , -0.4 ± 0.48989794855663565 , 0.4 ± 0.48989794855663565
fold 7,  0.3539188112143563 ± 0.07110873197894849 , 0.5188446778992797 ± 0.07549799810262788 , 0.6465552791275382 ± 0.1507244671854175 , 0.47045017334507166 ± 0.126356047671294 , 0.5188446778992795 ± 0.07549799810262785 , 0.02205078 ± 0.015639892 , -13.4 ± 7.552483035399682 , 13.4 ± 7.552483035399682 , -263.0 ± 296.81307248839295 , 263.0 ± 296.81307248839295 , -3.6 ± 7.914543574963752 , 6.8 ± 5.418486873657627 , -0.4 ± 0.48989794855663565 , 0.4 ± 0.48989794855663565
fold 8,  0.48421516962564415 ± 0.08000651022502721 , 0.6486191799489516 ± 0.07186997296370913 , 0.7212698494889418 ± 0.046144588680971085 , 0.5917668822614707 ± 0.08940809169925255 , 0.6486191799489516 ± 0.07186997296370916 , 0.008603516 ± 0.0035371787 , -9.0 ± 4.049691346263317 , 9.0 ± 4.049691346263317 , -72.4 ± 56.16262102145875 , 72.4 ± 56.16262102145875 , -3.0 ± 2.6076809620810595 , 3.0 ± 2.6076809620810595 , -1.2 ± 0.9797958971132713 , 1.2 ± 0.9797958971132713
fold 9,  0.4416688156414058 ± 0.03686287489709547 , 0.6117871846865468 ± 0.03644345962220112 , 0.7103263455868114 ± 0.043183164903471065 , 0.5414067283193488 ± 0.05712699766923627 , 0.6117871846865468 ± 0.03644345962220114 , 0.0075781248 ± 0.0029130059 , -9.6 ± 6.374950980203691 , 9.6 ± 6.374950980203691 , -102.4 ± 56.36523751391455 , 102.4 ± 56.36523751391455 , -4.8 ± 7.2221880341071145 , 6.8 ± 5.381449618829484 , -1.0 ± 1.0954451150103321 , 1.4 ± 0.4898979485566356
fold 10,  0.44539740871823535 ± 0.09065150493977454 , 0.61101665927157 ± 0.08425216402688968 , 0.6877039648156666 ± 0.054477186198946974 , 0.573333221362849 ± 0.16149897885170394 , 0.61101665927157 ± 0.08425216402688968 , 0.0150820315 ± 0.009358443 , -15.0 ± 12.569805089976535 , 17.8 ± 8.133879763065101 , -123.4 ± 102.91277860401982 , 127.0 ± 98.43576585774096 , -1.6 ± 7.989993742175272 , 6.4 ± 5.043808085167396 , -2.2 ± 2.227105745132009 , 2.2 ± 2.227105745132009
unet++ resnet152 jaccard
