model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
fold 2,0.5147290077527711 ± 0.04082218637921281,0.6786910328429171 ± 0.03491852427110406,0.7910465520364565 ± 0.018673660233240075,0.5959874945734257 ± 0.05077294434564539,0.6786910328429171 ± 0.03491852427110402,0.015501954 ± 0.0060891425,-6.8 ± 5.81033561853358,8.0 ± 4.0,-143.4 ± 53.00037735714719,143.4 ± 53.00037735714719,1.4 ± 3.9293765408777004,3.4 ± 2.4166091947189146,-1.8 ± 1.32664991614216,1.8 ± 1.32664991614216
fold 3,0.6035774921470283 ± 0.09372019751609728,0.7482428368530287 ± 0.07784346543550276,0.764586342444753 ± 0.050072896276770036,0.7417398689669132 ± 0.11616382966011127,0.7482428368530287 ± 0.07784346543550279,0.021097656 ± 0.015624092,-13.2 ± 12.890306435457616,13.2 ± 12.890306435457616,-209.2 ± 166.71580608928477,211.2 ± 164.17478490925458,2.0 ± 4.09878030638384,3.6 ± 2.8000000000000003,-3.6 ± 3.8781438859330635,3.6 ± 3.8781438859330635
fold 4,0.48596394980584456 ± 0.10970818606715252,0.6467305823296261 ± 0.09959458271459563,0.6596834434757294 ± 0.08168576092067398,0.6442449294672313 ± 0.1346708590379603,0.6467305823296262 ± 0.09959458271459572,0.024371093 ± 0.0055109514,0.2 ± 13.25745073534124,11.8 ± 6.04648658313239,-79.0 ± 136.8020467683141,146.2 ± 59.844465074056764,4.0 ± 7.014271166700073,6.4 ± 4.923413450036469,-0.8 ± 1.7204650534085253,1.6 ± 1.019803902718557
fold 5,0.4784788796901216 ± 0.04832854258726859,0.6457968240816717 ± 0.04472896310183607,0.7770207116948905 ± 0.045841699993786435,0.5598356310181111 ± 0.07345826066425344,0.6457968240816717 ± 0.04472896310183603,0.019738281 ± 0.007998483,-6.2 ± 5.878775382679628,7.8 ± 3.4871191548325386,-118.0 ± 120.24475040516322,123.6 ± 114.48074073834428,3.0 ± 3.63318042491699,4.6 ± 1.0198039027185568,-1.2 ± 0.7483314773547883,1.2 ± 0.7483314773547883
fold 6,0.4020007884112805 ± 0.09122429705223878,0.5671714061988247 ± 0.09687361753287206,0.6082503150400382 ± 0.08199938592205747,0.5701855055951542 ± 0.158295659905311,0.5671714061988247 ± 0.09687361753287206,0.010101562 ± 0.005081383,-1.6 ± 5.851495535331117,4.8 ± 3.7094473981982814,-18.0 ± 49.034681603942325,41.2 ± 32.1085658353032,-3.6 ± 5.388877434122992,5.2 ± 3.867815921162743,0.2 ± 0.7483314773547883,0.6 ± 0.48989794855663565
fold 7,0.46891083181995424 ± 0.0725874469852095,0.6349454080129654 ± 0.07092949263106565,0.674010137939094 ± 0.16563609860101328,0.6298394639286905 ± 0.04870943308931545,0.6349454080129654 ± 0.07092949263106567,0.018628906 ± 0.011547693,-7.4 ± 4.409081537009721,7.4 ± 4.409081537009721,-87.0 ± 189.21944931745256,160.6 ± 132.59200579220453,-3.4 ± 7.964923100695951,7.4 ± 4.498888751680797,0.6 ± 0.48989794855663565,0.6 ± 0.48989794855663565
fold 8,0.5192421264268876 ± 0.06112240814252337,0.6814897420168607 ± 0.05134901691081972,0.7965196302486444 ± 0.07679157048823346,0.6008313679336574 ± 0.06517994501416291,0.6814897420168606 ± 0.0513490169108197,0.0076855468 ± 0.0032786622,-6.4 ± 3.006659275674582,6.4 ± 3.006659275674582,-64.4 ± 41.682610282946534,64.4 ± 41.682610282946534,-0.2 ± 2.7856776554368237,2.6 ± 1.019803902718557,-1.2 ± 1.1661903789690602,1.2 ± 1.1661903789690602
fold 9,0.4947002078953453 ± 0.03183445870547537,0.6613369239239135 ± 0.02827435435386331,0.7278879549933863 ± 0.0544692644378988,0.609367054439448 ± 0.03874937290152344,0.6613369239239134 ± 0.028274354353863333,0.00686914 ± 0.0025053394,-10.4 ± 4.673328578219169,10.4 ± 4.673328578219169,-75.8 ± 30.367087446773688,75.8 ± 30.367087446773688,-3.6 ± 5.2,4.8 ± 4.1182520563948,-1.0 ± 1.4142135623730951,1.4 ± 1.019803902718557
fold 10,0.4625526009124652 ± 0.08546880390935722,0.6281000263168482 ± 0.07584103498918064,0.7097893763791318 ± 0.08864543055792146,0.599116605000565 ± 0.16457155839883553,0.6281000263168482 ± 0.07584103498918067,0.013537109 ± 0.0075577036,-14.6 ± 12.642784503423286,17.0 ± 9.16515138991168,-163.6 ± 152.1375693246083,178.0 ± 135.00666650206574,0.6 ± 6.6211781428987395,5.0 ± 4.381780460041329,-2.4 ± 3.6110940170535573,3.2 ± 2.925747767665559
UNet++ timm-resnest101e jaccard 0.5
