model,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
Unet++ timm-resnest101e jaccard
MAnet timm-resnest101e jaccard
fold 1,  0.48939853814601814 ± 0.10224683032329354 , 0.6508696337226803 ± 0.09197433775875063 , 0.8012602966043803 ± 0.07498178250159641 , 0.5533632752186006 ± 0.10850453126270751 , 0.6508696337226804 ± 0.09197433775875069 , 0.016960938 ± 0.011695347 , -10.6 ± 11.46472851837321 , 11.0 ± 11.081516141756055 , -194.2 ± 157.03426377704963 , 194.2 ± 157.03426377704963 , 1.2 ± 5.2687759489277965 , 4.0 ± 3.63318042491699 , -1.6 ± 1.019803902718557 , 1.6 ± 1.019803902718557
fold 2,  0.4728663094729204 ± 0.08753897488689547 , 0.6375429203611598 ± 0.07681769119442841 , 0.8265771000580753 ± 0.05148714761527173 , 0.5251248513047114 ± 0.09506252196910764 , 0.6375429203611598 ± 0.07681769119442837 , 0.01609961 ± 0.006898183 , -8.6 ± 6.887670143089026 , 10.6 ± 3.0066592756745814 , -187.4 ± 79.94147859528245 , 187.4 ± 79.94147859528245 , 0.0 ± 5.019960159204453 , 4.4 ± 2.4166091947189146 , -1.6 ± 1.019803902718557 , 1.6 ± 1.019803902718557
fold 3,  0.5938823878428492 ± 0.10021206075530019 , 0.7397599570623525 ± 0.08659891563128629 , 0.7616169852701842 ± 0.06532620328468622 , 0.72870277474124 ± 0.12403686386534445 , 0.7397599570623525 ± 0.08659891563128626 , 0.022242187 ± 0.01764051 , -14.0 ± 14.560219778561036 , 14.0 ± 14.560219778561036 , -252.4 ± 167.8125144320292 , 252.4 ± 167.8125144320292 , 1.0 ± 1.0954451150103321 , 1.4 ± 0.4898979485566356 , -4.0 ± 4.147288270665544 , 4.0 ± 4.147288270665544
fold 4,  0.4724271386376885 ± 0.09912217973644781 , 0.6352630811466358 ± 0.09575368554702889 , 0.6896058082298122 ± 0.08236737820029816 , 0.5964157302664408 ± 0.11340033688976542 , 0.6352630811466358 ± 0.09575368554702887 , 0.024164062 ± 0.0061524105 , -8.2 ± 9.453041838477178 , 10.6 ± 6.6513156593263565 , -225.6 ± 156.54980038313687 , 225.6 ± 156.54980038313687 , -2.6 ± 7.3375745311376575 , 6.6 ± 4.127953488110059 , -0.8 ± 1.3266499161421599 , 1.2 ± 0.9797958971132713
fold 5,  0.4758232871827152 ± 0.05295782024246443 , 0.6430681187181696 ± 0.04894883457756497 , 0.7871318566409056 ± 0.034138577501103586 , 0.546568367171693 ± 0.06314059414053166 , 0.6430681187181696 ± 0.04894883457756498 , 0.0196875 ± 0.008422343 , -10.6 ± 6.945502141674136 , 10.6 ± 6.945502141674136 , -176.2 ± 138.08895683580204 , 176.2 ± 138.08895683580204 , 0.0 ± 3.847076812334269 , 3.2 ± 2.1354156504062622 , -1.8 ± 1.1661903789690602 , 1.8 ± 1.1661903789690602
fold 6,  0.39515141240340956 ± 0.1034165530879512 , 0.558111417404704 ± 0.11278697335508345 , 0.6762748711646749 ± 0.16725343945959237 , 0.5380940418247129 ± 0.15738265536000276 , 0.558111417404704 ± 0.11278697335508346 , 0.010107422 ± 0.006157807 , -1.4 ± 8.685620300243386 , 7.8 ± 4.069397989875161 , 11.6 ± 111.3725280309287 , 86.0 ± 71.71052921294054 , -0.6 ± 5.953150426454887 , 5.4 ± 2.5768197453450252 , -0.2 ± 0.7483314773547883 , 0.6 ± 0.48989794855663565
fold 7,  0.4683267781497934 ± 0.1091519964964619 , 0.6298302828497135 ± 0.10882571099748746 , 0.6299644172977699 ± 0.1851472308343591 , 0.6989992795966472 ± 0.11217247346407336 , 0.6298302828497135 ± 0.10882571099748745 , 0.020845702 ± 0.012331169 , -3.8 ± 4.621688003316537 , 5.0 ± 3.286335345030997 , -48.8 ± 243.82567543226452 , 205.6 ± 139.86078792856847 , -1.6 ± 6.468384651518492 , 5.6 ± 3.6110940170535577 , 0.6 ± 1.019803902718557 , 1.0 ± 0.6324555320336759
fold 8,  0.5091379465752421 ± 0.0563058889202212 , 0.6729162438725311 ± 0.048920731438757276 , 0.7804099784638692 ± 0.08263234423165755 , 0.6062907254942622 ± 0.0899715183038541 , 0.6729162438725311 ± 0.048920731438757296 , 0.0079941405 ± 0.0032855521 , -5.4 ± 2.33238075793812 , 5.4 ± 2.33238075793812 , -43.2 ± 34.312679872023985 , 43.2 ± 34.312679872023985 , 0.0 ± 4.979959839195493 , 4.0 ± 2.9664793948382653 , -1.0 ± 0.8944271909999159 , 1.0 ± 0.8944271909999159
fold 9,  0.4912007461570642 ± 0.04737351639075742 , 0.6574501558890591 ± 0.04247098833683636 , 0.6818154064792542 ± 0.08206310255711236 , 0.6436761459591678 ± 0.051645962145754315 , 0.6574501558890592 ± 0.04247098833683636 , 0.0073496094 ± 0.002644726 , -9.4 ± 4.17612260356422 , 9.4 ± 4.17612260356422 , -50.0 ± 38.93584466786357 , 56.8 ± 28.102668912400475 , -2.6 ± 5.314132102234569 , 3.4 ± 4.841487374764082 , -1.2 ± 1.32664991614216 , 1.6 ± 0.8
fold 10,  0.48315923962187224 ± 0.07870570312956655 , 0.6479781648082524 ± 0.06689706848279164 , 0.6851020830237148 ± 0.08510645454704878 , 0.6398242796284747 ± 0.1328671427701585 , 0.6479781648082524 ± 0.0668970684827917 , 0.01342578 ± 0.0076062935 , -8.4 ± 9.134549797335389 , 12.0 ± 3.1622776601683795 , -93.8 ± 89.43466889299697 , 113.8 ± 62.020641725154704 , 3.4 ± 7.578918128598566 , 6.2 ± 5.528109984434102 , -1.8 ± 2.4 , 1.8 ± 2.4

Linknet timm-resnest101e jaccard
fold 1,  0.5535216322480677 ± 0.133144419719481 , 0.7027098284343803 ± 0.11555360718023433 , 0.724629260442556 ± 0.12277090449224717 , 0.6867917036034809 ± 0.11854779881460167 , 0.7027098284343803 ± 0.11555360718023432 , 0.016671875 ± 0.011852379 , -5.2 ± 8.908422980528034 , 8.4 ± 5.986651818838307 , -82.2 ± 142.6483788901928 , 123.8 ± 108.5309172540249 , 2.6 ± 8.2365041127896 , 5.8 ± 6.3999999999999995 , -1.2 ± 1.16619037896906 , 1.2 ± 1.16619037896906
fold 2,  0.5268614940033636 ± 0.06850233204360813 , 0.6875573957640677 ± 0.057245820048528566 , 0.8042290992968588 ± 0.054306686031969524 , 0.6031383894917617 ± 0.06705108327197044 , 0.6875573957640677 ± 0.057245820048528594 , 0.014826173 ± 0.006007456 , -4.6 ± 6.829348431585549 , 6.6 ± 4.923413450036469 , -115.6 ± 43.56879617340832 , 115.6 ± 43.56879617340832 , 4.2 ± 2.227105745132009 , 4.2 ± 2.227105745132009 , -2.4 ± 1.3564659966250538 , 2.4 ± 1.3564659966250538
fold 3,  0.593932727093813 ± 0.09374906464211016 , 0.7405164233248849 ± 0.08037599499174575 , 0.7731805049121098 ± 0.06438263350530406 , 0.7164997985410247 ± 0.10695185253316265 , 0.7405164233248849 ± 0.08037599499174575 , 0.021880858 ± 0.017255986 , -17.0 ± 17.308957218735046 , 17.0 ± 17.308957218735046 , -255.6 ± 192.35134519935127 , 255.6 ± 192.35134519935127 , 0.4 ± 3.1368774282716245 , 2.4 ± 2.0591260281974 , -4.0 ± 4.049691346263317 , 4.0 ± 4.049691346263317
fold 4,  0.4351113635762428 ± 0.08690009622353045 , 0.6011212382515081 ± 0.08693636529415687 , 0.7357570861581063 ± 0.08377300802143833 , 0.5174033953236428 ± 0.10492663477032807 , 0.6011212382515081 ± 0.08693636529415692 , 0.024855468 ± 0.007741414 , -10.0 ± 11.64474130240771 , 12.0 ± 9.57078889120432 , -279.0 ± 159.1967336348331 , 279.0 ± 159.1967336348331 , -0.6 ± 8.404760555780278 , 7.8 ± 3.1874754901018454 , -1.2 ± 1.6 , 1.6 ± 1.2000000000000002
