image,IOU,DICE,PRECISION,RECALL,F1,MSE,Filo # difference,Filo # abs difference,Filo len difference,Filo len abs difference,Single filo # diff,Single filo # abs diff,Fused filo # diff,Fused filo # abs diff
141,0.44510385756676557, 0.6160164271047228, 0.9146341463414634, 0.46439628482972134, 0.6160164271047228, 0.0018261719, -4, 4, -28, 28, -2, 2, 0, 0
144,0.6192170818505338, 0.7648351648351648, 0.8446601941747572, 0.6987951807228916, 0.7648351648351649, 0.0010449219, -3, 3, -14, 14, -3, 3, 0, 0
124,0.5147540983606558, 0.6796536796536796, 0.8626373626373627, 0.5607142857142857, 0.6796536796536797, 0.0014453125, -2, 2, -27, 27, -1, 1, 0, 0
140,0.35454545454545455, 0.5234899328859061, 0.9069767441860465, 0.36792452830188677, 0.523489932885906, 0.00069335935, -2, 2, -19, 19, -2, 2, 0, 0
133,0.5776699029126213, 0.7323076923076923, 0.8341121495327103, 0.6526508226691042, 0.7323076923076923, 0.002548828, -1, 1, -30, 30, -1, 1, 0, 0
131,0.5736434108527132, 0.729064039408867, 0.8043478260869565, 0.6666666666666666, 0.729064039408867, 0.0005371094, -1, 1, -9, 9, -1, 1, 0, 0
128,0.5963020030816641, 0.747104247104247, 0.6906603212373588, 0.8135949544498949, 0.7471042471042472, 0.0076757814, 1, 1, -1, 1, 3, 3, -1, 1
142,0.5077473182359953, 0.6735177865612648, 0.7376623376623377, 0.6196363636363637, 0.6735177865612648, 0.0080664065, -13, 13, -80, 80, -10, 10, -1, 1
146,0.6893491124260355, 0.8161120840630472, 0.91015625, 0.7396825396825397, 0.8161120840630472, 0.0010253906, -3, 3, -9, 9, -3, 3, 0, 0
148,0.33647798742138363, 0.5035294117647059, 0.4930875576036866, 0.5144230769230769, 0.5035294117647059, 0.0020605468, -2, 2, 8, 8, -2, 2, 0, 0
170,0.5901442307692307, 0.7422524565381708, 0.7571318427139553, 0.7279466271312083, 0.7422524565381707, 0.0066601564, -7, 7, -64, 64, 0, 0, -1, 1
155,0.43302180685358255, 0.6043478260869565, 0.9144736842105263, 0.4512987012987013, 0.6043478260869565, 0.0017773438, -2, 2, -25, 25, 1, 1, 0, 0
